STOP_FRISK_ID,Stop Frisk Time,YEAR2,MONTH2,DAY2,STOP_WAS_INITIATED,ISSUING_OFFICER_RANK,ISSUING_OFFICER_COMMAND_CODE,SUPERVISING_OFFICER_RANK,SUPERVISING_OFFICER_COMMAND_CODE,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,OFFICER_NOT_EXPLAINED_STOP_DESCRIPTION,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,OFFICER_IN_UNIFORM_FLAG,FRISKED_FLAG,SEARCHED_FLAG,OTHER_CONTRABAND_FLAG,FIREARM_FLAG,KNIFE_CUTTER_FLAG,OTHER_WEAPON_FLAG,WEAPON_FOUND_FLAG,PHYSICAL_FORCE_CEW_FLAG,PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG,PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG,PHYSICAL_FORCE_OC_SPRAY_USED_FLAG,PHYSICAL_FORCE_OTHER_FLAG,PHYSICAL_FORCE_RESTRAINT_USED_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG,BACKROUND_CIRCUMSTANCES_SUSPECT_KNOWN_TO_CARRY_WEAPON_FLAG,SUSPECTS_ACTIONS_CASING_FLAG,SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG,SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG,SUSPECTS_ACTIONS_OTHER_FLAG,SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG,SEARCH_BASIS_ADMISSION_FLAG,SEARCH_BASIS_CONSENT_FLAG,SEARCH_BASIS_HARD_OBJECT_FLAG,SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG,SEARCH_BASIS_OTHER_FLAG,SEARCH_BASIS_OUTLINE_FLAG,DEMEANOR_OF_PERSON_STOPPED,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,STOP_LOCATION_PRECINCT,STOP_LOCATION_FULL_ADDRESS,STOP_LOCATION_BORO_NAME
39,21:17:00,2018,January,Tuesday,Based on C/W on Scene,POM,77,SGT,77,1,ROBBERY,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,CALM,16,MALE,BLACK,5.7,160,THN,BRO,BRO,77,216 UTICA AVENUE,BROOKLYN
40,16:00:00,2018,January,Tuesday,Based on C/W on Scene,POM,79,SGT,79,1,PETIT LARCENY,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,CALM AND QUIZZICAL,62,0,BLACK,5.8,147,MED,BRO,BLK,79,NOSTRAND AVENUE && VERNON AVENUE,BROOKLYN
41,8:30:00,2018,January,Tuesday,Based on C/W on Scene,DTS,103,SGT,103,1,THEFT OF SERVICES,15,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,AGGRESSIVE,22,MALE,BLACK,6.1,150,THN,BRO,BLK,103,SUTPHIN BOULEVARD && JAMAICA AVENUE,QUEENS
42,19:22:00,2018,January,Tuesday,Based on Radio Run,POM,106,SGT,106,1,BURGLARY,27,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,NERVOUS,37,MALE,ASIAN / PACIFIC ISLANDER,5.7,150,MED,BRO,BLK,106,135 PLACE && 131 AVENUE,QUEENS
43,19:22:00,2018,January,Tuesday,Based on Radio Run,POM,106,SGT,106,1,BURGLARY,27,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,NERVOUS,55,MALE,ASIAN / PACIFIC ISLANDER,5.11,180,MED,BRO,BLK,106,135 PLACE && 131 AVENUE,QUEENS
44,18:48:00,2018,January,Tuesday,Based on Self Initiated,POM,809,SGT,809,1,CRIMINAL TRESPASS,3,1,0,1,CRIMINAL TRESPASS,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,COOPRATIVE/ NORMAL,16,MALE,BLACK,6.1,150,THN,BRO,BLK,114,3-04 ASTORIA BOULEVARD,QUEENS
45,18:45:00,2018,January,Tuesday,Based on Self Initiated,POM,809,SGT,809,1,CRIMINAL TRESPASS,3,1,0,1,CRIMINAL TRESPASS,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,COOPRATIVE,19,MALE,WHITE HISPANIC,5.9,150,MED,BRO,BLK,114,3-04 ASTORIA BOULEVARD,QUEENS
46,15:50:00,2018,January,Tuesday,Based on Radio Run,POM,446,SSA,446,1,CPW,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,CALM,30,MALE,WHITE,6.8,180,MED,ZZZ,BRO,121,FOREST HILL ROAD && RUMSON ROAD,STATEN ISLAND
47,12:34:00,2018,January,Tuesday,Based on Radio Run,POM,446,SGT,446,1,BURGLARY,37,1,0,1,BURGLARY,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,CALM. QUIET.,18,MALE,WHITE HISPANIC,5.1,120,THN,BRO,BRO,121,WILD AVENUE && ROSWELL AVENUE,STATEN ISLAND
48,15:50:00,2018,January,Tuesday,Based on Radio Run,POM,446,SSA,446,1,CPW,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,CALM,35,MALE,WHITE,6.4,190,MED,ZZZ,BRO,121,FOREST HILL ROAD && RUMSON ROAD,STATEN ISLAND
